Municipio,Delitos,Año,Periodo Trimestral,Trimestre,Provincia,Total,Valor trimestral,Poblacion
Sant Andreu de la Barca,Delitos Sexuales,2023,Enero-Junio,2,Barcelona,6,1.0,26910
Sant Andreu de la Barca,Delitos Sexuales,2023,Enero-Septiembre,3,Barcelona,7,1.0,26910
Sant Andreu de la Barca,Delitos Sexuales,2023,Enero-Diciembre,4,Barcelona,9,2.0,26910
Sant Andreu de la Barca,Delitos Sexuales,2024,Enero-Marzo,1,Barcelona,2,2.0,27062
Sant Andreu de la Barca,Delitos Sexuales,2024,Enero-Junio,2,Barcelona,5,3.0,27062
Sant Andreu de la Barca,Delitos Sexuales,2024,Enero-Septiembre,3,Barcelona,5,0.0,27062
Sant Andreu de la Barca,Delitos Sexuales,2024,Enero-Diciembre,4,Barcelona,10,5.0,27062
Sant Andreu de la Barca,Delitos Sexuales,2025,Enero-Marzo,1,Barcelona,5,5.0,27094
Sant Andreu de la Barca,Delitos Sexuales,2025,Enero-Junio,2,Barcelona,5,0.0,27094
Sant Andreu de la Barca,Delitos Sexuales,2025,Enero-Septiembre,3,Barcelona,7,2.0,27094
Sant Andreu de la Barca,Homicidios,2021,Enero-Marzo,1,Barcelona,1,1.0,27175
Sant Andreu de la Barca,Homicidios,2021,Enero-Junio,2,Barcelona,2,1.0,27175
Sant Andreu de la Barca,Homicidios,2021,Enero-Septiembre,3,Barcelona,2,0.0,27175
Sant Andreu de la Barca,Homicidios,2021,Enero-Diciembre,4,Barcelona,2,0.0,27175
Sant Andreu de la Barca,Homicidios,2022,Enero-Marzo,1,Barcelona,0,0.0,26965
Sant Andreu de la Barca,Homicidios,2022,Enero-Junio,2,Barcelona,0,0.0,26965
Sant Andreu de la Barca,Homicidios,2022,Enero-Septiembre,3,Barcelona,0,0.0,26965
Sant Andreu de la Barca,Homicidios,2022,Enero-Diciembre,4,Barcelona,0,0.0,26965
Sant Andreu de la Barca,Homicidios,2023,Enero-Marzo,1,Barcelona,0,0.0,26910
Sant Andreu de la Barca,Homicidios,2023,Enero-Junio,2,Barcelona,1,1.0,26910
Sant Andreu de la Barca,Homicidios,2023,Enero-Septiembre,3,Barcelona,1,0.0,26910
